FoodName,Carbs,Calories,Protein,Fat
"Apples, fuji, with skin, raw",15.7,65.0,0.15,0.16
"Apples, gala, with skin, raw",14.8,61.0,0.13,0.15
"Apples, granny smith, with skin, raw",14.2,59.0,0.27,0.14
"Apples, honeycrisp, with skin, raw",14.7,60.0,0.1,0.1
"Apples, red delicious, with skin, raw",14.8,258.0,0.19,0.21
"Bananas, overripe, raw",20.1,85.0,0.73,0.22
"Bananas, ripe and slightly ripe, raw",23.0,97.0,0.74,0.29
"Beans, snap, green, canned, regular pack, drained solids",4.11,86.0,1.04,0.39
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0.0,176.0,27.7,6.36
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0.0,648.0,22.8,6.39
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,512.0,23.4,2.48
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0.0,514.0,23.7,2.41
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",0.0,145.0,22.7,5.32
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0.0,918.0,27.3,11.4
"Bread, white, commercially prepared",49.2,1130.0,9.43,3.59
"Bread, whole-wheat, commercially prepared",43.1,1060.0,12.3,3.55
"Broccoli, raw",6.29,132.0,2.57,0.34
"Carrots, frozen, unprepared",7.92,153.0,0.81,0.47
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",7.92,37.0,0.81,0.47
"Cheese, American, restaurant",6.35,1570.0,17.5,31.1
"Cheese, cheddar",2.44,408.0,23.3,34.0
"Cheese, cottage, lowfat, 2% milkfat",4.31,84.0,11.0,2.3
"Cheese, dry white, queso seco",2.07,326.0,24.5,24.3
"Cheese, mozzarella, low moisture, part-skim",4.44,1240.0,23.7,20.4
"Cheese, parmesan, grated",12.4,421.0,29.6,28.0
"Cheese, pasteurized process, American, vitamin D fortified",5.27,366.0,18.0,30.6
"Cheese, ricotta, whole milk",6.86,157.0,7.81,11.0
"Cheese, swiss",1.44,1640.0,27.0,31.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0.0,695.0,32.1,3.24
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0.0,156.0,23.9,5.95
"Cookies, oatmeal, soft, with raisins",69.6,1800.0,5.79,14.3
"Egg, white, dried",6.02,376.0,79.9,0.65
"Egg, white, raw, frozen, pasteurized",0.74,201.0,10.1,0.16
"Egg, whole, dried",1.87,575.0,48.1,39.8
"Egg, whole, raw, frozen, pasteurized",0.91,150.0,12.3,10.3
"Egg, yolk, dried",1.07,2740.0,34.2,55.5
"Egg, yolk, raw, frozen, pasteurized",0.59,1240.0,15.6,25.1
"Eggs, Grade A, Large, egg white",2.36,55.0,10.7,0.0
"Eggs, Grade A, Large, egg whole",0.96,617.0,12.4,9.96
"Eggs, Grade A, Large, egg yolk",1.02,1400.0,16.2,28.8
